App Name,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Released,Last Updated,Content Rating,Ad Supported,In App Purchases,Editors Choice,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Mehndi Designs - Henna Body Art,Lifestyle,4.0,1259,"500,000+",500000,768747,True,0.0,USD,Varies with device,4.1 and up,Sumit Kataria,5-Apr-19,1-Aug-20,Everyone,True,False,False,,,,,,,,,,
Hindi Inspirational Quotes Wallpaper,Lifestyle,4.1,1148,"50,000+",50000,81893,True,0.0,USD,Varies with device,4.1 and up,Sumit Kataria,30-Mar-19,30-Jul-19,Teen,True,False,False,,,,,,,,,,
Access FCU Mobile Banking,Finance,4.6,543,"10,000+",10000,44146,True,0.0,USD,19M,8.0 and up,ACCESS FEDERAL CREDIT UNION,19-Nov-12,22-Oct-20,Everyone,False,False,False,,,,,,,,,,
gidimo,Education,4.1,829,"50,000+",50000,91236,True,0.0,USD,30M,5.0 and up,Gidi Mobile,8-May-13,31-Oct-20,Everyone,False,True,False,,,,,,,,,,
Sketch Master Pro,Photography,4.2,56,"1,000+",1000,2213,False,1.99,USD,Varies with device,Varies with device,Dumpling Sandwich Software Inc.,24-Sep-15,22-Nov-20,Everyone,False,False,False,,,,,,,,,,
Opera Mini - fast web browser,Communication,4.3,7274316,"500,000,000+",500000000,507017010,True,0.0,USD,Varies with device,Varies with device,Opera,24-Nov-14,17-Nov-20,Everyone,True,False,False,,,,,,,,,,
T-Mobile FamilyWhere,Lifestyle,4.3,18492,"1,000,000+",1000000,2724149,True,0.0,USD,34M,4.1 and up,T-Mobile USA,7-Feb-11,18-Nov-20,Everyone,False,False,False,,,,,,,,,,
Working Time Management,Productivity,3.9,26,"5,000+",5000,6977,True,0.0,USD,5.3M,4.0 and up,"Enlaza Soluciones Informaticas Valencia, S.L.",29-May-15,15-Oct-19,Everyone,True,True,False,,,,,,,,,,
AppLock,Tools,4.4,658018,"100,000,000+",100000000,126583159,True,0.0,USD,12M,4.0 and up,DoMobile Lab,31-Oct-13,15-Sep-20,Everyone,False,True,False,,,,,,,,,,
Skype - free IM & video calls,Communication,4.3,11265953,"1,000,000,000+",1000000000,1671617443,True,0.0,USD,Varies with device,Varies with device,Skype,4-Oct-10,10-Nov-20,Everyone,True,False,True,,,,,,,,,,
