App Name,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Released,Last Updated,Content Rating,Ad Supported,In App Purchases,Editors Choice,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Age of History Europe,Strategy,4.0,4392,"50,000+",50000,65073,False,1.49,USD,17M,2.3 and up,?ukasz Jakowski,28-Oct-14,2-Nov-20,Everyone,False,False,False,,,,,,,,,,
Saif Almarifa,Trivia,4.0,31745,"1,000,000+",1000000,1878743,True,0.0,USD,84M,4.0 and up,THX Games Zrt.,16-Nov-15,17-Apr-19,Everyone,True,True,False,,,,,,,,,,
PolarFinder Pro,Tools,4.5,101,"1,000+",1000,2657,False,2.49,USD,1.8M,4.1 and up,Raffaele Lunari,26-Sep-19,14-Nov-20,Everyone,False,False,False,,,,,,,,,,
Kouzaitap,Productivity,4.5,500,"100,000+",100000,102202,True,0.0,USD,7.0M,4.1 and up,"TOGUCHI Co., Ltd.",8-Oct-11,7-Jul-20,Everyone,True,False,False,,,,,,,,,,
"Millimeter Pro - screen ruler, protractor, level",Productivity,4.7,843,"100,000+",100000,142786,False,1.99,USD,2.8M,4.0.3 and up,vistech.projects,25-Sep-12,23-Jan-19,Everyone,False,False,False,,,,,,,,,,
?????2-?????????????????????,Card,3.7,213,"10,000+",10000,42966,True,0.0,USD,70M,5.0 and up,"Shenzhen WaWa Interactive Technology Co.,LTD",8-May-18,23-Sep-20,Teen,True,True,False,,,,,,,,,,
??????,Card,4.3,135475,"500,000+",500000,677198,True,0.0,USD,26M,4.0 and up,Eskyfun Entertainment Network Limited,27-Jan-20,14-Oct-20,Teen,False,True,False,,,,,,,,,,
Corneille: learn to read in French,Educational,4.0,19,"10,000+",10000,14012,True,0.0,USD,71M,5.1 and up,Corneille,2-Apr-18,22-Oct-20,Everyone,False,True,False,,,,,,,,,,
Learn French,Education,4.4,16,"1,000+",1000,3165,True,0.0,USD,26M,4.1 and up,Hosy_developer,23-Apr-18,8-Sep-20,Everyone,True,False,False,,,,,,,,,,
????? ????? ????????????,Books & Reference,4.7,112,"10,000+",10000,42762,True,0.0,USD,Varies with device,Varies with device,Ahmed Nussair,29-Jan-18,11-Oct-20,Everyone,False,False,False,,,,,,,,,,
"Learn Dutch - 15,000 Words",Education,4.6,5679,"100,000+",100000,478492,True,0.0,USD,99M,5.0 and up,FunEasyLearn,5-Jun-14,6-Nov-20,Everyone,False,True,False,,,,,,,,,,
"Learn Finnish - 15,000 Words",Education,4.5,2888,"100,000+",100000,171366,True,0.0,USD,97M,5.0 and up,FunEasyLearn,31-Jul-14,6-Nov-20,Everyone,False,True,False,,,,,,,,,,
Beelinguapp: Learn Languages Music & Audiobooks,Education,4.6,51681,"1,000,000+",1000000,3215816,True,0.0,USD,13M,4.2 and up,Beelinguapp Languages,2-Sep-16,24-Nov-20,Everyone,True,True,False,,,,,,,,,,
Wild Dino Shooting Adventure : Deer Hunting Games,Lifestyle,4.7,278,"100,000+",100000,116544,True,0.0,USD,81M,4.4 and up,Hub Games Studio,28-Mar-19,23-Nov-20,Teen,True,True,False,,,,,,,,,,
Top Speed Bike Racing : New Bike Games 2020,Sports,4.3,155,"50,000+",50000,60840,True,0.0,USD,69M,5.1 and up,Games 160,9-Oct-20,12-Oct-20,Teen,True,True,False,,,,,,,,,,
Scholastic F.I.R.S.T.,Education,2.8,24,"5,000+",5000,9573,True,0.0,USD,39M,4.1 and up,Scholastic,31-May-18,3-Sep-20,Everyone,False,False,False,,,,,,,,,,
Fusion Crush,Strategy,4.4,7396,"100,000+",100000,298716,True,0.0,USD,52M,5.0 and up,"HONG KONG TOUDA CO.,  LIMITED",2-Nov-20,7-Nov-20,Everyone 10+,True,True,False,,,,,,,,,,
Latin America Empire 2027,Strategy,4.1,12995,"100,000+",100000,356923,True,0.0,USD,62M,4.1 and up,iGindis Games,18-Apr-18,12-Nov-20,Everyone,True,True,False,,,,,,,,,,
Through the Ages,Board,4.7,10806,"50,000+",50000,65568,False,9.99,USD,141M,5.0 and up,CGE digital,14-Sep-17,10-Nov-20,Everyone 10+,False,True,False,,,,,,,,,,
Pipefitter,Productivity,4.6,191,"10,000+",10000,11606,False,5.49,USD,9.0M,4.0 and up,IT TOMIZO,3-Aug-15,6-May-19,Everyone,False,False,False,,,,,,,,,,
"Smart Tools : Compass, Calculator, Ruler, Bar Code",Tools,4.4,10475,"500,000+",500000,704867,True,0.0,USD,9.2M,4.2 and up,EZHIL,17-May-17,31-Jul-20,Everyone,True,True,False,,,,,,,,,,
Pocket Bubble Level,Tools,4.7,8836,"1,000,000+",1000000,2350019,True,0.0,USD,4.9M,4.0 and up,ExaMobile S.A.,8-Apr-14,21-Nov-19,Everyone,True,True,False,,,,,,,,,,
APG-Texas Holdem Poker Game,Card,3.8,88,"10,000+",10000,16004,True,0.0,USD,63M,5.0 and up,"MASTER NETWORK TECHNOLOGY CO., LIMITED",16-Jan-20,25-Nov-20,Teen,False,True,False,,,,,,,,,,
BIG 2: Free Big 2 Card Game & Big Two Card Hands!,Simulation,3.9,464,"50,000+",50000,77422,True,0.0,USD,26M,2.3.3 and up,Super Lucky Casino,20-Apr-15,18-Sep-15,Teen,True,True,False,,,,,,,,,,
Learn Bulgarian - 50 languages,Education,4.6,549,"50,000+",50000,64448,True,0.0,USD,19M,4.0.3 and up,50LANGUAGES LLC,25-Oct-12,17-Oct-20,Everyone,True,True,False,,,,,,,,,,
Fun French: Language Learning Games for Kids,Education,4.0,394,"50,000+",50000,83715,True,0.0,USD,88M,4.0.3 and up,Studycat,22-Mar-16,23-Oct-20,Everyone,False,True,False,,,,,,,,,,
????? ??? ????? ???? ??,Books & Reference,4.4,399,"100,000+",100000,337887,True,0.0,USD,3.4M,4.1 and up,AQWA Apps,3-Feb-17,19-Aug-20,Everyone,True,False,False,,,,,,,,,,
???? ?????? ?????? |Quran Quiz,Social,4.5,767,"50,000+",50000,56502,True,0.0,USD,3.4M,2.0 and up,Quran Quiz Net,24-Apr-13,4-Mar-14,Everyone,False,False,False,,,,,,,,,,
"Learn Spanish Language: Listen, Speak, Read",Education,4.5,3614,"100,000+",100000,298473,True,0.0,USD,18M,4.1 and up,LuvLingua,14-Sep-15,11-Nov-20,Everyone,True,False,False,,,,,,,,,,
Learn Swedish - 50 languages,Education,4.7,1389,"100,000+",100000,152958,True,0.0,USD,19M,4.0.3 and up,50LANGUAGES LLC,31-Oct-12,17-Oct-20,Everyone,True,True,False,,,,,,,,,,
Police Dino Robot Transform Car Simulator Games,Lifestyle,4.9,136,"100,000+",100000,130230,True,0.0,USD,Varies with device,Varies with device,Robotic Games Studio,16-Jul-20,18-Sep-20,Teen,True,True,False,,,,,,,,,,
Extreme formula car racing games: New car games,Sports,4.4,910,"500,000+",500000,620832,True,0.0,USD,60M,5.0 and up,Fun Hive Studios,9-Feb-20,21-Oct-20,Teen,True,True,False,,,,,,,,,,
Letterland Stories BCD,Education,4.6,10,"5,000+",5000,8629,False,0.99,USD,67M,2.3 and up,Letterland,7-Oct-16,7-Oct-16,Everyone,True,False,False,,,,,,,,,,
Let's Read - Digital Library of Children's Books,Books & Reference,4.6,526,"100,000+",100000,120846,True,0.0,USD,3.4M,4.1 and up,Let's Read!,6-Mar-17,20-Aug-20,Everyone,False,False,False,,,,,,,,,,
Colonizer,Strategy,4.6,55799,"500,000+",500000,526124,True,0.0,USD,Varies with device,Varies with device,Creative Robot,25-Nov-15,17-Oct-18,Teen,False,True,False,,,,,,,,,,
Walter Insert Converter,Productivity,3.7,7,"1,000+",1000,4755,True,0.0,USD,4.1M,4.1 and up,Walter AG,12-Jan-18,14-Mar-18,Everyone,False,False,False,,,,,,,,,,
CNC,Education,3.5,47,"1,000+",1000,1201,False,2.99,USD,7.5M,4.4 and up,Arman Barseghyan und Viktor Weimer,19-Mar-19,11-Mar-20,Everyone,False,False,False,,,,,,,,,,
"GPS Tools® - Find, Measure, Navigate & Explore",Tools,4.6,103390,"5,000,000+",5000000,6323323,True,0.0,USD,Varies with device,Varies with device,VirtualMaze,21-Nov-14,13-Oct-20,Everyone,True,True,False,,,,,,,,,,
Grand Gin Rummy Old,Card,4.5,13572,"500,000+",500000,613004,True,0.0,USD,82M,4.0.3 and up,GameDuell,16-Feb-16,1-Aug-19,Teen,True,True,False,,,,,,,,,,
Poker Showdown: Wild West Tactics,Card,4.3,206,"10,000+",10000,10240,True,0.0,USD,98M,5.0 and up,Tinker Troupe,27-May-20,19-Nov-20,Teen,True,True,False,,,,,,,,,,
Poker Trainer - Poker Training Exercises,Card,4.1,140,"10,000+",10000,10468,True,0.0,USD,16M,4.4 and up,Thomas Karlsson,19-Jan-13,20-Sep-20,Teen,False,True,False,,,,,,,,,,
"Szókártyák Német - Magyar, Ingyenes és Offline",Education,4.7,2259,"50,000+",50000,72261,True,0.0,USD,9.4M,4.0 and up,Pomus,23-Nov-16,14-Sep-20,Everyone,True,True,False,,,,,,,,,,
Learn Japanese - 50 languages,Education,4.6,1321,"100,000+",100000,148101,True,0.0,USD,19M,4.0.3 and up,50LANGUAGES LLC,30-Oct-12,17-Oct-20,Everyone,True,True,False,,,,,,,,,,
Gus Learns English for Kids,Education,4.6,12,500+,500,806,False,3.99,USD,34M,4.1 and up,"toojuice, LLC",26-Jun-13,6-Aug-19,Everyone,False,False,False,,,,,,,,,,
???????? ?? ??????? ???? ??,Education,4.6,78,"10,000+",10000,35611,True,0.0,USD,3.4M,2.3.3 and up,AQWA Apps,15-Oct-16,15-Oct-16,Everyone,True,False,False,,,,,,,,,,
????? ????? ??????? ???? ??,Entertainment,4.5,180,"50,000+",50000,90997,True,0.0,USD,24M,4.1 and up,AQWA Apps,13-Jul-16,5-Mar-19,Everyone,True,False,False,,,,,,,,,,
Picture Dictionary Turkish,Education,3.0,30,"5,000+",5000,7206,True,0.0,USD,4.0M,4.0 and up,PONS,1-Apr-15,14-Dec-16,Everyone,False,True,False,,,,,,,,,,
Horse Robot Car Game  Space Robot Transform wars,Travel & Local,4.4,273,"100,000+",100000,231491,True,0.0,XXX,51M,4.1 and up,Brave Jackals,6-Nov-20,27-Nov-20,Everyone 10+,True,True,False,,,,,,,,,,
Polar Bear Robot Transform: Robot car game,Sports,4.6,28,"10,000+",10000,30703,True,0.0,USD,81M,5.0 and up,Foggy Studios,19-Oct-20,25-Nov-20,Teen,True,True,False,,,,,,,,,,
Jolly Phonics Adventure,Education,3.6,76,"10,000+",10000,10424,False,5.49,USD,49M,3.2 and up,Jolly Learning Ltd,2-Sep-15,19-Nov-20,Everyone,False,False,False,,,,,,,,,,
Pango plays soccer,Educational,4.5,41,"1,000+",1000,3083,False,2.99,USD,Varies with device,Varies with device,Studio Pango,8-Jun-12,9-Sep-20,Everyone,False,False,False,,,,,,,,,,
?? Leela Kids Podcast App,Education,4.4,64,"10,000+",10000,25554,True,0.0,USD,9.6M,4.4 and up,"Leela Labs, Inc.",10-Aug-17,28-Mar-18,Everyone,False,False,False,,,,,,,,,,
Stories of Light - Inspiring Muslim Kids,Books & Reference,5.0,59,"1,000+",1000,1834,True,0.0,USD,66M,4.1 and up,Paperspell Studio Limited,16-Apr-20,1-May-20,Everyone,False,True,False,,,,,,,,,,
Hermetic compressor power,Productivity,4.6,34,"1,000+",1000,3711,False,1.99,USD,6.6M,4.4 and up,Sedec Apps,19-Apr-18,25-Nov-18,Everyone,False,False,False,,,,,,,,,,
"Threads (sizes, tolerances, calculations, charts)",Tools,4.7,205,"10,000+",10000,26610,True,0.0,USD,7.7M,4.4 and up,Artem Kh,3-Apr-19,25-Sep-20,Everyone,True,True,False,,,,,,,,,,
Weather Forecast,Weather,4.7,70670,"5,000,000+",5000000,5487041,True,0.0,USD,17M,5.0 and up,Coocent,12-Oct-18,29-Oct-20,Everyone,True,False,False,,,,,,,,,,
WhatWeather - Weather Station ad-free,Weather,4.4,1696,"100,000+",100000,286563,True,0.0,USD,Varies with device,Varies with device,kolov.com,8-Dec-17,26-Nov-20,Everyone,False,False,False,,,,,,,,,,
Super Phase Rummy card game,Card,4.5,3192,"100,000+",100000,269264,True,0.0,USD,33M,5.0 and up,PB Softworks,29-Jun-19,7-Nov-20,Teen,True,True,False,,,,,,,,,,
"Szókártyák Angol - Magyar,  Igyenes és Offline",Education,4.7,3993,"100,000+",100000,100157,True,0.0,USD,9.4M,4.0 and up,Pomus,23-Nov-16,14-Sep-20,Everyone,True,True,False,,,,,,,,,,
Learn Korean - Language & Grammar Learning Pro,Education,4.8,544,"5,000+",5000,5247,False,5.99,USD,49M,4.1 and up,LuvLingua,22-Apr-13,16-Oct-20,Everyone,False,False,False,,,,,,,,,,
??? ???????? ????? ???? ??????,Libraries & Demo,4.7,1983,"50,000+",50000,89411,True,0.0,USD,60M,4.1 and up,developper studio,6-Apr-18,28-Sep-18,Everyone,True,False,False,,,,,,,,,,
??? ??? ????? ????? 2 - ???? ???,Video Players & Editors,4.6,621,"50,000+",50000,78590,True,0.0,USD,88M,4.1 and up,bouazane,8-Sep-18,16-Jul-20,Everyone,True,False,False,,,,,,,,,,
Bausteine  Deutsch Klasse 1,Education,4.0,19,"1,000+",1000,4245,False,2.99,USD,42M,4.0 and up,Westermann Digital GmbH,2-Dec-14,1-Jul-17,Everyone,False,False,False,,,,,,,,,,
??? ????????,Books & Reference,4.6,18,"1,000+",1000,2991,True,0.0,USD,1.4M,4.0 and up,Toubkal Mob,17-Oct-17,17-Oct-17,Everyone,False,False,False,,,,,,,,,,
Read with Phonics -  Phonics Games,Educational,3.9,235,"100,000+",100000,117679,True,0.0,USD,34M,4.4 and up,Way We Learn,15-Feb-16,5-Jun-20,Everyone,False,True,False,,,,,,,,,,
Educational Balloons: Alphabet Numbers Shapes,Educational,4.8,63,"5,000+",5000,9112,True,0.0,USD,Varies with device,Varies with device,CloudGames by isTech,13-May-20,2-Nov-20,Everyone,True,False,False,,,,,,,,,,
Car City: Kindergarden Toddler Learning Games,Educational,4.6,8,"10,000+",10000,12447,True,0.0,USD,42M,4.3 and up,Mini Mango,24-Jan-20,11-Sep-20,Everyone,False,True,False,,,,,,,,,,
Kindergarten - Learning Boost Workbook,Educational,3.8,299,"100,000+",100000,167083,True,0.0,USD,17M,4.0.3 and up,RosiMosi LLC,25-Sep-14,30-Oct-20,Everyone,False,True,False,,,,,,,,,,
Learn Ayatul Kursi - By Word,Education,4.8,1621,"100,000+",100000,241601,True,0.0,USD,11M,4.1 and up,Quran Reading,1-Jul-14,20-Dec-18,Everyone,False,False,False,,,,,,,,,,
????????? (Kids Book),Education,4.2,1908,"500,000+",500000,569222,True,0.0,USD,13M,4.0 and up,Md. Asaduzzaman,9-Dec-14,28-Jan-15,Everyone,False,False,False,,,,,,,,,,
Drilling Engineering,Tools,4.6,552,"50,000+",50000,61383,True,0.0,USD,5.1M,2.3.3 and up,Pertamina Drilling UTC,25-Jun-14,23-Mar-17,Everyone,False,False,False,,,,,,,,,,
Gear Design Pro,Education,4.1,27,500+,500,931,False,1.99,USD,1.1M,2.2 and up,José Fernández,22-Jun-13,22-Jun-13,Everyone,False,False,False,,,,,,,,,,
APPLICA,Tools,4.2,22,"5,000+",5000,5384,True,0.0,USD,30M,5.0 and up,CAREL INDUSTRIES S.p.A.,16-Nov-18,4-Nov-20,Everyone,False,False,False,,,,,,,,,,
Solitaire Tripeaks Journey,Casual,4.5,144,"5,000+",5000,5062,True,0.0,USD,Varies with device,4.4W and up,MAGA Games,28-Aug-20,8-Sep-20,Everyone,True,True,False,,,,,,,,,,
Phase 10: World Tour,Card,4.4,93329,"1,000,000+",1000000,3142898,True,0.0,USD,62M,4.1 and up,Mattel163 Limited,11-Oct-19,2-Nov-20,Everyone,True,True,False,,,,,,,,,,
Cribbage Club Online,Card,4.6,1193,"50,000+",50000,94808,True,0.0,USD,20M,5.0 and up,GameClubUSA.com,12-Jun-15,26-Aug-20,Teen,True,True,False,,,,,,,,,,
Live Local Weather Forecast,Weather,4.3,31966,"5,000,000+",5000000,5318290,True,0.0,USD,36M,4.4 and up,Weather Widget Theme Dev Team,28-Jun-17,28-Oct-20,Everyone,True,False,False,,,,,,,,,,
Korean Study Step1 (Free),Education,4.1,1101,"100,000+",100000,286176,True,0.0,USD,55M,4.4 and up,SOFTHEAVEN,29-Apr-12,16-Sep-20,Everyone,True,False,False,,,,,,,,,,
Learn Korean - Language & Grammar Learning,Education,4.7,38098,"1,000,000+",1000000,2081142,True,0.0,USD,16M,4.1 and up,LuvLingua,22-Apr-13,6-Nov-20,Everyone,True,False,False,,,,,,,,,,
????? ???????? ??? ????,Food & Drink,4.6,641,"100,000+",100000,121100,True,0.0,USD,19M,4.1 and up,TEAM DZ DEV,21-Jul-18,14-Nov-20,Everyone,True,False,False,,,,,,,,,,
????? ?????? ???????,Education,4.6,3945,"100,000+",100000,328672,True,0.0,USD,29M,4.1 and up,I-studio,4-Nov-15,21-Sep-20,Everyone,True,False,False,,,,,,,,,,
90 ????? ???? ??????,Books & Reference,5.0,23,"5,000+",5000,5495,True,0.0,USD,1.4M,4.0 and up,Toubkal Mob,7-Mar-17,11-Oct-17,Everyone,False,False,False,,,,,,,,,,
Plaque d'immatriculation Maroc,Maps & Navigation,4.1,100,"50,000+",50000,52083,True,0.0,USD,Varies with device,Varies with device,Toubkal Mob,20-Sep-16,12-Jun-20,Everyone,True,False,False,,,,,,,,,,
Escribo Play and Learn,Education,3.9,83,"10,000+",10000,17491,True,0.0,USD,4.9M,4.4 and up,Escribo Inovação para o Aprendizado,26-Apr-19,7-Oct-20,Everyone,False,False,False,,,,,,,,,,
Oville World - Learning for Kids,Educational,0.0,0,"5,000+",5000,6528,True,0.0,USD,119M,4.4 and up,International Digital Education Access Inc.,11-Feb-20,12-Nov-20,Everyone,False,True,False,,,,,,,,,,
Uniword: learn to read for kids!,Educational,4.6,14,"1,000+",1000,1002,True,0.0,USD,104M,4.4 and up,Editale,2-Sep-19,8-Oct-20,Everyone,False,True,False,,,,,,,,,,
Numbers and Math for Kids,Educational,4.1,2148,"500,000+",500000,579351,True,0.0,USD,40M,4.1 and up,EDUBUZZKIDS,23-Aug-16,21-Sep-20,Everyone,True,True,False,,,,,,,,,,
????????? (Bangla Newspapers),News & Magazines,4.4,40,"1,000+",1000,3839,True,0.0,USD,2.1M,4.0 and up,Md. Asaduzzaman,2-Jul-15,10-Jul-16,Everyone,False,False,False,,,,,,,,,,
ABC KIDS,Education,4.3,6857,"1,000,000+",1000000,2409852,True,0.0,USD,34M,4.4 and up,I-studio,18-Jan-16,29-Jul-20,Everyone,True,False,False,,,,,,,,,,
Equations Solver,Education,0.0,0,100+,100,159,False,0.99,USD,540k,1.6 and up,José Fernández,21-Jan-13,6-Jun-13,Everyone,False,False,False,,,,,,,,,,
Solitaire Discovery,Card,4.7,11364,"500,000+",500000,549251,True,0.0,USD,37M,3.0 and up,Solitaire Fun,13-Dec-17,16-Dec-19,Everyone,True,True,False,,,,,,,,,,
Solitaire - Enjoy card Game,Card,4.4,3135,"50,000+",50000,70049,True,0.0,USD,27M,4.4 and up,Bit Games: Fun Casual Games,7-Aug-20,27-Nov-20,Everyone,True,False,False,,,,,,,,,,
Solitaire Showtime: Tri Peaks Solitaire Free & Fun,Card,4.8,79004,"1,000,000+",1000000,1907530,True,0.0,USD,117M,4.4 and up,"Jam City, Inc.",15-Nov-19,26-Nov-20,Everyone,True,True,False,,,,,,,,,,
Tri Peaks Emerland Solitaire,Card,4.3,1921,"100,000+",100000,154276,True,0.0,USD,1.8M,4.0 and up,Victor Nikulin,2-Sep-15,1-Aug-16,Everyone,False,True,False,,,,,,,,,,
Spades Card Game,Card,4.5,5125,"500,000+",500000,501674,True,0.0,USD,71M,4.1 and up,MobilityWare,2-Jul-20,4-Nov-20,Everyone,True,False,False,,,,,,,,,,
???? - Thawap | ????? ? ????? ?????? ???? ??????,Lifestyle,4.9,5090,"100,000+",100000,127019,True,0.0,USD,7.0M,4.3 and up,Walid Fekry,15-Mar-19,26-Aug-20,Everyone,True,False,False,,,,,,,,,,
Fruit Crush : Fruit Candy Blast - Match Puzzle,Puzzle,4.2,4257,"1,000,000+",1000000,1330079,True,0.0,USD,72M,4.4 and up,I-studio,31-Dec-15,27-Nov-20,Everyone,True,False,False,,,,,,,,,,
???? ????? ??????? ?? ????? ???????,Books & Reference,5.0,26,"5,000+",5000,5580,True,0.0,USD,1.9M,2.3 and up,Rif3i,23-Mar-18,31-Mar-18,Everyone,False,False,False,,,,,,,,,,
??? ??????,Books & Reference,4.8,120,"1,000+",1000,4496,True,0.0,USD,8.9M,2.2 and up,Open Vision Technologies,11-Nov-18,13-Nov-18,Everyone,False,False,False,,,,,,,,,,
Kids Math - Kindergarten,Education,4.2,580,"100,000+",100000,115530,True,0.0,USD,19M,2.3 and up,RamkyS Tech,4-Mar-14,2-Sep-16,Everyone,True,False,False,,,,,,,,,,
Puzzingo Kids Puzzles (Pro),Education,4.2,270,"1,000+",1000,4036,False,24.99,USD,38M,4.0.3 and up,"77SPARX Studio, Inc.",19-Apr-13,26-Nov-19,Everyone,False,False,False,,,,,,,,,,
SunScool - Sunday School app,Educational,4.9,5496,"100,000+",100000,308669,True,0.0,USD,29M,4.1 and up,SunScool.org,8-Apr-15,24-Nov-20,Everyone,False,False,False,,,,,,,,,,
???????? ???? - Bangla Quotes,Education,4.5,302,"100,000+",100000,201783,True,0.0,USD,3.8M,4.0.3 and up,Honey Bee,29-Oct-18,12-Oct-19,Everyone,True,False,False,,,,,,,,,,
?????? ??????? all english grammar rules in bangla,Productivity,4.3,5850,"1,000,000+",1000000,1278027,True,0.0,USD,6.1M,4.1 and up,WBL Apps,16-Feb-18,3-Oct-20,Everyone,True,False,False,,,,,,,,,,
Matrix operations premium,Education,4.5,31,"1,000+",1000,3645,False,1.49,USD,4.3M,4.0.3 and up,HMLA,8-Oct-17,23-Nov-19,Everyone,False,False,False,,,,,,,,,,
Quadratic Equation Solver PRO,Education,4.7,92,"10,000+",10000,12872,False,1.49,USD,2.1M,4.1 and up,K. Dev,1-Sep-18,2-Sep-18,Everyone,False,False,False,,,,,,,,,,
Shadow Kingdom Solitaire. Adventure of princess,Card,4.4,2607,"50,000+",50000,82620,True,0.0,USD,44M,4.4 and up,DigiMight,29-Dec-17,12-Oct-20,Everyone,True,True,False,,,,,,,,,,
TriPeaks Solitaire Challenge,Card,4.4,137,"10,000+",10000,22704,True,0.0,USD,51M,4.0.3 and up,XI-ART Sp.z o.o.,27-Nov-17,25-Oct-18,Everyone,True,True,False,,,,,,,,,,
Emerland Solitaire 2 Card Game,Card,4.7,5427,"100,000+",100000,230296,True,0.0,USD,74M,4.4 and up,Arun V,16-Dec-19,12-Nov-20,Everyone,True,True,False,,,,,,,,,,
Solitaire Derby,Card,4.6,322,"10,000+",10000,15453,True,0.0,USD,82M,4.4 and up,"Tapinator, Inc. (Ticker: TAPM)",22-Dec-19,30-Jun-20,Everyone,True,True,False,,,,,,,,,,
Word Search: Guess The Phrase!,Puzzle,3.8,2398,"50,000+",50000,88427,True,0.0,USD,111M,5.1 and up,MobilityWare,12-Nov-19,21-Sep-20,Everyone,True,False,False,,,,,,,,,,
Puzzle Cats,Puzzle,4.3,914,"10,000+",10000,41443,True,0.0,USD,77M,4.1 and up,MobilityWare,27-Apr-20,4-Nov-20,Everyone,True,False,False,,,,,,,,,,
Solitaire Duels,Card,4.3,1191,"50,000+",50000,52743,True,0.0,USD,36M,4.0 and up,LazyLand SA,25-Jun-14,27-Sep-19,Everyone,True,True,False,,,,,,,,,,
???? ??? ??????? - ????? ???????,Lifestyle,4.7,208,"100,000+",100000,133293,True,0.0,USD,4.1M,4.0 and up,PhonApps,15-Mar-18,27-Sep-20,Everyone,True,False,False,,,,,,,,,,
??? ???????,Books & Reference,4.7,126,"10,000+",10000,21899,True,0.0,USD,11M,4.0.3 and up,ABDULRAHMAN MOHAMMAD ALDEKHEEL,20-Jan-17,24-Feb-18,Everyone,False,False,False,,,,,,,,,,
????? ??????? (???? ?????? ?????),Books & Reference,4.8,42,"1,000+",1000,3824,True,0.0,USD,6.8M,4.4 and up,Rif3i,9-Sep-20,4-Oct-20,Everyone,True,False,False,,,,,,,,,,
????? ????? ?? ?????? ??????,Lifestyle,4.5,176,"50,000+",50000,67793,True,0.0,USD,3.7M,4.0 and up,PhonApps,1-Apr-18,27-Sep-20,Everyone,True,False,False,,,,,,,,,,
??? ??????? ???? ???? ????,Books & Reference,5.0,62,"1,000+",1000,4107,True,0.0,USD,1.5M,2.3.3 and up,Amin-sheikho.com,17-Dec-15,17-Dec-15,Everyone,False,False,False,,,,,,,,,,
iLearn: Kids Connect the Dots FREE (Preschool),Education,4.1,20,"10,000+",10000,49781,True,0.0,USD,Varies with device,4.0 and up,KiDEO (formerly forqan smart tech),3-May-17,7-Sep-20,Everyone,True,False,False,,,,,,,,,,
Toddler Preschool Activities,Education,4.3,3514,"1,000,000+",1000000,1146795,True,0.0,USD,32M,4.0.3 and up,Active Panda,21-Nov-13,18-Nov-19,Everyone,True,True,False,,,,,,,,,,
Do the Math  Kids Learning Game,Educational,4.5,126,"10,000+",10000,10621,True,0.0,USD,85M,4.4 and up,Chihipuhee Games,13-Mar-20,10-Aug-20,Everyone,True,True,False,,,,,,,,,,
???? ~ bangla herbal medicine,Health & Fitness,4.5,2013,"500,000+",500000,604737,True,0.0,USD,12M,4.0.3 and up,Apps Store Lab,1-Oct-16,29-Mar-20,Everyone,True,False,False,,,,,,,,,,
Probability Distributions,Education,4.6,1564,"100,000+",100000,361470,True,0.0,USD,3.3M,4.1 and up,Matthew Bognar,30-Dec-12,2-Nov-20,Everyone,False,False,False,,,,,,,,,,
Quadratic Equation Solver with Steps and Graphs,Education,4.3,1174,"100,000+",100000,263033,True,0.0,USD,2.9M,4.1 and up,K. Dev,3-Aug-16,2-Sep-18,Everyone,True,False,False,,,,,,,,,,
Linear Equation Solver,Education,3.7,1117,"100,000+",100000,350979,True,0.0,USD,3.4M,4.1 and up,K. Dev,24-Mar-15,15-Oct-18,Everyone,True,False,False,,,,,,,,,,
Solitaire Tales,Card,4.2,24756,"1,000,000+",1000000,1472172,True,0.0,USD,42M,4.1 and up,Qublix Games,14-May-14,6-Jan-20,Everyone,False,True,False,,,,,,,,,,
TriPeaks Solitaire Free,Card,4.7,10229,"100,000+",100000,329916,True,0.0,USD,19M,4.1 and up,mahjong connect,9-Feb-17,11-Oct-20,Everyone,True,True,False,,,,,,,,,,
Big Sport Fishing 3D,Sports,4.2,1996,"50,000+",50000,81984,False,3.99,USD,8.0M,2.0.1 and up,"Tapinator, Inc. (Ticker: TAPM)",9-Dec-10,20-Jul-17,Everyone 10+,True,True,False,,,,,,,,,,
Combo Quest 2,Role Playing,3.9,1266,"100,000+",100000,174671,True,0.0,USD,39M,4.0 and up,"Tapinator, Inc. (Ticker: TAPM)",24-Feb-17,9-Mar-17,Teen,True,True,False,,,,,,,,,,
Big Sport Fishing 3D Lite,Sports,4.1,82082,"10,000,000+",10000000,11918218,True,0.0,USD,8.3M,2.1 and up,"Tapinator, Inc. (Ticker: TAPM)",16-Oct-10,20-Jul-17,Everyone 10+,True,True,False,,,,,,,,,,
Word Search - Free Puzzles,Word,4.6,10484,"100,000+",100000,477576,True,0.0,USD,Varies with device,Varies with device,LR Studios,20-Jan-17,6-Sep-20,Teen,True,True,False,,,,,,,,,,
{THE AND},Card,4.3,81,"10,000+",10000,14721,True,0.0,USD,37M,5.0 and up,The Skin Deep Digital,29-Apr-20,23-Jun-20,Teen,False,True,False,,,,,,,,,,
